Name,Score,Total Blocks,Just in Time,Normal,Too Early,Up,Down,Left,Right,Start Time,End Time,Duration,Music,Average Reaction Time
lelian,185,26,0,6,20,3,3,11,9,2024-11-15 15:11:23,2024-11-15 15:11:45,22.182213,unchained.mp3,757.9224441833137
lelian,19,3,0,0,3,2,0,0,1,2024-11-15 15:12:19,2024-11-15 15:12:25,5.772986,levels_avicii.mp3,757.4484777517564
lelian,110,9,1,3,5,2,0,2,5,2024-11-15 15:12:45,2024-11-15 15:12:54,8.939773,levels_avicii.mp3,758.2931633835458
lelian,84,11,0,4,7,5,5,0,1,2024-11-15 15:13:33,2024-11-15 15:13:43,9.384851,audio (3).mp3,756.0755148741418
lelian,0,0,0,0,0,0,0,0,0,2024-11-15 15:13:51,2024-11-15 15:13:56,4.84886,funkygroove.mp3,756.0755148741418
lelian,384,48,1,15,32,7,19,10,12,2024-11-15 15:14:02,2024-11-15 15:14:27,25.528966,audio (3).mp3,752.4436008676789
