Name,Score,Total Blocks,Just in Time,Normal,Too Early,Up,Down,Left,Right,Start Time,End Time,Duration,Music,Average Reaction Time
Aure,265,20,2,16,2,4,4,6,6,2024-11-15 11:31:56,2024-11-15 11:32:13,17.366638,audio (3).mp3,899.35
Aure,4954,302,76,178,48,74,75,68,85,2024-11-15 11:32:21,2024-11-15 11:34:33,132.015783,audio (3).mp3,904.6086956521739
Aure,1081,57,17,33,7,15,13,16,13,2024-11-15 11:43:34,2024-11-15 11:44:07,33.454457,funkygroove.mp3,909.0580474934037
Aure,2560,148,37,92,19,48,31,36,33,2024-11-15 11:44:15,2024-11-15 11:45:29,74.271826,levels_avicii.mp3,907.9354838709677
Aure,69,5,1,4,0,0,1,3,1,2024-11-15 11:45:37,2024-11-15 11:45:49,11.733276,unchained.mp3,908.9323308270676
Aure,1621,107,17,84,6,28,24,22,33,2024-11-15 11:46:16,2024-11-15 11:47:15,58.805259,unchained.mp3,909.5993740219093
