Name,Score,Total Blocks,Just in Time,Normal,Too Early,Up,Down,Left,Right,Start Time,End Time,Duration,Music,Average Reaction Time
Julien,388,33,3,16,14,11,5,8,9,2024-11-15 15:21:39,2024-11-15 15:22:05,25.135456,unchained.mp3,758.4890438247012
Julien,75,5,1,0,4,1,1,0,3,2024-11-15 15:22:44,2024-11-15 15:22:56,12.28138,unchained.mp3,758.6402378592666
Julien,94,11,0,5,6,2,4,4,1,2024-11-15 15:23:31,2024-11-15 15:23:46,15.223369,unchained.mp3,758.2019607843138
Julien,463,61,3,10,48,17,18,16,10,2024-11-15 15:24:08,2024-11-15 15:24:46,38.061068,unchained.mp3,752.0481036077706
julien,64,7,1,2,4,1,2,1,3,2024-11-15 15:25:00,2024-11-15 15:25:13,13.31855,audio (3).mp3,751.8639705882352
julien,2422,230,120,60,50,1,2,1,3,2024-11-15 15:25:00,2024-11-15 15:25:13,13.31855,funkygroove.mp3,751.8639705882352
