Name,Score,Total Blocks,Just in Time,Normal,Too Early,Up,Down,Left,Right,Start Time,End Time,Duration,Music,Average Reaction Time
demo,16,1,0,1,0,0,1,0,0,2024-11-15 17:03:27,2024-11-15 17:03:37,9.934881,unchained.mp3,817.3601286173633
demo,219,18,2,13,3,5,3,5,5,2024-11-15 17:03:47,2024-11-15 17:04:00,13.256645,funkygroove.mp3,818.3817034700315
