Name,Score,Total Blocks,Just in Time,Normal,Too Early,Up,Down,Left,Right,Start Time,End Time,Duration,Music,Average Reaction Time
Coco,73,5,1,2,2,2,1,2,0,2024-11-15 16:24:55,2024-11-15 16:25:07,11.832129,unchained.mp3,728.2101910828026
Coco,195,17,1,8,8,3,2,5,7,2024-11-15 16:25:24,2024-11-15 16:25:37,12.552583,funkygroove.mp3,732.2090163934427
Coco,113,10,1,3,6,6,2,0,2,2024-11-15 16:25:52,2024-11-15 16:26:01,8.816782,funkygroove.mp3,731.4839357429719
Coco,262,22,3,8,11,6,5,6,5,2024-11-15 16:26:14,2024-11-15 16:26:27,12.940441,audio (3).mp3,732.8942307692307
