Name,Score,Total Blocks,Just in Time,Normal,Too Early,Up,Down,Left,Right,Start Time,End Time,Duration,Music,Average Reaction Time
victor,119,16,0,4,12,2,4,8,2,2024-11-15 15:01:15,2024-11-15 15:01:32,17.220309,unchained.mp3,902.4703557312253
victor,79,9,0,4,5,1,3,3,2,2024-11-15 15:01:52,2024-11-15 15:02:06,13.902754,unchained.mp3,898.2977099236641
victor,1017,125,3,45,77,23,41,31,30,2024-11-15 15:02:38,2024-11-15 15:03:45,67.638977,unchained.mp3,832.4263565891473
victor,86,11,1,1,9,5,1,1,4,2024-11-15 15:04:07,2024-11-15 15:04:17,10.134202,levels_avicii.mp3,827.608040201005
victor,35,5,0,1,4,0,1,2,2,2024-11-15 15:04:25,2024-11-15 15:04:32,6.278456,levels_avicii.mp3,827.2456575682382
victor,10,2,0,0,2,0,0,1,1,2024-11-15 15:04:40,2024-11-15 15:04:45,5.350628,levels_avicii.mp3,826.5802469135803
victor,2423,338,4,84,250,88,87,86,77,2024-11-15 15:04:57,2024-11-15 15:07:25,148.354632,audio (3).mp3,753.2032301480484
