Name,Score,Total Blocks,Just in Time,Normal,Too Early,Up,Down,Left,Right,Start Time,End Time,Duration,Music,Average Reaction Time
fab,135,14,1,4,9,2,3,5,4,2024-11-15 16:04:57,2024-11-15 16:05:13,16.31285,unchained.mp3,730.6315789473684
fab,26,3,0,2,1,1,0,2,0,2024-11-15 16:05:23,2024-11-15 16:05:34,10.866194,unchained.mp3,736.6829268292682
fab,14,2,0,1,1,0,1,0,1,2024-11-15 16:05:46,2024-11-15 16:05:56,10.187321,unchained.mp3,736.2325581395348
fab,562,77,2,18,57,23,18,14,22,2024-11-15 16:06:18,2024-11-15 16:07:02,43.770383,funkygroove.mp3,699.825
fab,1002,147,1,26,120,38,38,39,32,2024-11-15 16:07:18,2024-11-15 16:08:37,78.664025,funkygroove.mp3,679.1011235955057
fab,372,44,1,22,21,11,17,10,6,2024-11-15 16:08:46,2024-11-15 16:09:09,22.560527,audio (3).mp3,680.7942122186495
fab,137,15,1,4,10,3,4,4,4,2024-11-15 16:09:14,2024-11-15 16:09:24,9.949495,audio (3).mp3,681.9141104294479
