Music,Total Beats,BPM,Loudness,M_Duration
audio (3).mp3,477,[140.625],0.15903722916042723,207.36
funkygroove.mp3,321,[117.1875],0.1187703133572346,184.656
levels_avicii.mp3,404,[125.],0.12329547192551851,198.408
unchained.mp3,198,[130.81395349],0.08154109515054571,104.568
